,PolymerLength,reduce_first,reduce_all,reduce_sequential,reduce_str_replace
0,0,2.323643068484671e-06,2.007534365160609e-06,3.11150909803473e-05,1.3063204109821526e-05
1,5000,0.037925674706093565,0.0014752986576932017,0.0007841716623661341,0.0005127525662574044
2,10000,0.26803912213908915,0.00364141823924001,0.0014065083910481918,0.000962350741676346
3,15000,0.8294755634729881,0.006421989330519864,0.0020608271193304968,0.0014302462076921075
4,20000,1.7689761662715682,0.009876397200368956,0.002809792453226692,0.002140835892460018
5,25000,3.2044240725910638,0.01427584302766263,0.0037856385486338697,0.002757841406310036
6,30000,5.506655467554083,0.995460304329572,0.11942897925509895,0.08270565763232299
7,35000,8.057215934475426,1.2321789361478297,0.14516133809647727,0.09736101516973576
8,40000,11.109263598406141,1.3674000392815286,0.1567611292062793,0.11018265907696333
9,45000,15.106405638485196,1.4732994256928578,0.1709362225352379,0.11874204628511505
10,50000,19.795411290581434,1.5078752046500086,0.17255755501082606,0.121309978811405
